Item,Date,Quantity,Supplied,Price,Amount,Invoice
(Sub) Mt barker free range roasted shredded chicken 200g,2026-03-16,0,1,7.9,7.9,297257631-cca9949abcf74534a668d1a43127a62e.pdf
(Sub) Pauls plus protein nack chocolate 160g 160g,2026-03-16,0,2,2.45,4.9,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Armada large kitchen tidy bag lavender/lemon scented 25 pack,2026-01-09,1,1,2.5,2.5,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Armada medium kitchen tidy bag lavender/lemon scented 30 pack,2026-01-09,1,1,2.5,2.5,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Bow wow pig ears dog treats 5 pack,2026-01-09,2,2,11.0,22.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Bow wow pig ears dog treats 5 pack,2026-03-16,2,2,11.0,22.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Cadbury dairy milk chocolate easter bunny 100g,2026-03-16,1,1,4.75,4.75,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Cadbury milk chocolate coated almonds 280g,2025-12-18,1,1,6.0,6.0,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Coca-cola zero sugar soft drink multipack cans 375ml x 10 pack,2026-01-09,1,1,12.0,12.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Coca-cola zero sugar soft drink multipack cans 375ml x 10 pack,2026-04-16,1,1,10.5,10.5,Woolies_interview2.pdf
* Dishmatic wonder scrub sponge scourers pdm 3 pack,2026-04-16,1,1,2.1,2.1,Woolies_interview2.pdf
* Doritos corn chips cheese supreme share pack 170g,2025-12-18,1,1,2.5,2.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Earth choice dishwashing liquid green tea & lime 500ml,2026-03-01,1,1,2.8,2.8,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
* Easter rabbit ears blue each,2026-03-16,1,1,3.5,3.5,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Eclipse peppermint sugar free mints tin 40g,2026-04-16,2,2,3.5,7.0,Woolies_interview2.pdf
* Eclipse spearmint sugar free mints tin 40g,2026-04-16,2,2,3.5,7.0,Woolies_interview2.pdf
* Eclipse strawberry sugar free mints tin 40g,2026-04-16,1,1,3.5,3.5,Woolies_interview2.pdf
* Energizer max aa alkaline batteries pdm 16 pack,2025-12-18,1,1,14.25,14.25,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Essentials ice cube tray assorted each,2025-12-18,1,1,3.5,3.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Finish ultimate dishwashing tablets lemon 70 pack,2026-04-23,1,1,32.0,32.0,Woolworths_Invoice.pdf
* Fropro protein pot bang bang chicken & rice 350g,2026-03-16,2,2,8.35,16.7,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Fropro protein pot bbq chicken mac & cheese 350g,2026-03-16,2,2,8.35,16.7,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Fropro protein pot cheeseburger pasta pdm 350g,2026-03-16,2,2,8.35,16.7,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Fropro protein pot cheeseburger pasta pdm 350g,2026-04-16,2,2,11.95,23.9,Woolies_interview2.pdf
* Fropro protein pot korean beef & noodles 350g,2026-03-16,2,2,8.35,16.7,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Fropro protein pot korean beef & noodles 350g,2026-04-16,2,2,11.95,23.9,Woolies_interview2.pdf
* Handee ultra double length white paper towel 2 x 120 pack,2025-12-18,1,1,5.25,5.25,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Kettle sea salt & vinegar chips chips 165g,2026-01-09,1,1,3.0,3.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Mars frozen dessert bars pdm 5 pack,2026-03-16,1,1,6.0,6.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Multix kitchen tidy bags 50l x-large colour scents 20 pack,2026-01-09,1,1,5.35,5.35,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Naturale 100% recycled 2 ply paper towel 2 x 35 pack,2026-01-09,1,1,1.75,1.75,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Nature's gift dog treats mini treats beef liver 130g,2025-12-18,1,1,3.0,3.0,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Nature's gift dog treats mini treats beef liver 130g,2026-01-09,1,1,3.5,3.5,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Nongshim onion rings hot & spicy pdm 40g,2025-12-18,1,1,1.5,1.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Ob finest wafer crackers cracked pepper pdm 100g,2026-03-01,1,1,3.5,3.5,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
* Obela hi protein hommus to go pdm 125g,2026-03-01,2,2,4.5,9.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
* Oral-b 3d white enamel strong whitening toothpaste 95g,2026-03-01,1,1,8.0,8.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
* Pascall marshmallows pink & white pdm 280g,2025-12-18,1,1,2.5,2.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Red rock deli potato chips party bag honey soy & chicken 290g,2025-12-18,1,1,4.25,4.25,283616484-2b9506f81203467cb09672cba4d5e082.pdf
"* Sharpie permanent marker pens ultra fine, black 2 pack",2026-01-09,1,1,2.8,2.8,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Smith's thinly cut potato chips share pack salt & vinegar 175g,2026-03-16,1,1,3.0,3.0,297257631-cca9949abcf74534a668d1a43127a62e.pdf
* Snickers frozen dessert bars pdm 5 pack,2026-04-23,1,1,6.0,6.0,Woolworths_Invoice.pdf
* Strength meals co beef tortellini bolognese 350g,2026-04-16,2,2,8.95,17.9,Woolies_interview2.pdf
* Strength meals co classic chicken dinner with gravy 350g,2026-04-16,2,2,8.95,17.9,Woolies_interview2.pdf
* Thins chips original 175g,2025-12-18,1,1,2.5,2.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Thins chips salt & vinegar 175g,2025-12-18,1,1,2.5,2.5,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Vege chips barbeque pdm 100g,2025-12-18,1,1,2.45,2.45,283616484-2b9506f81203467cb09672cba4d5e082.pdf
* Vita pet duck tenders dog treats 100g,2026-01-09,1,1,6.0,6.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Vita pet jerhigh chicken tenders dog treats 100g,2026-01-09,1,1,6.0,6.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Vita pet jerhigh milk sticks dog treats 100g,2026-01-09,1,1,6.0,6.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Vita pet soft chicken tenders dog treats 100g,2026-01-09,1,1,6.0,6.0,286101966-9abf8697f5ed489086c9c0100e177c8a.pdf
* Woolworths asian salad bowl pdm 230g,2026-03-01,1,1,6.0,6.0,294989712-dc721542da4f404aa4697a0bb6893d09.pdf
