Date,Item,Quantity,Invoice Price,Current Price,Product Name,Stockcode,Status
2026-04-30,Golden crumpets round 6 pack,1,2.4,2.4,Golden Crumpets Round 6 pack,49622,found
2026-04-30,Mission carb balance original wraps pdm 6 pack,2,6.5,5,Mission Carb Balance Original Wraps 6 pack,919345,found
2026-04-30,Deep cove sardines in springwater pdm 125g,2,1.0,1,Deep Cove Sardines In Springwater 125g,83235,found
2026-04-30,John west tuna chunks in springwater pdm 95g,1,1.45,2,John West Tuna Chunks In Springwater 95g,340411,found
2026-04-30,Eclipse peppermint sugar free mints tin 40g,2,3.5,3.5,Eclipse Peppermint Sugar Free Mints Tin 40g,815854,found
2026-04-30,Eclipse spearmint sugar free mints tin 40g,2,3.5,3.5,Eclipse Spearmint Sugar Free Mints Tin 40g,815853,found
2026-04-30,Eclipse strawberry sugar free mints tin 40g,1,3.5,3.5,Eclipse Strawberry Sugar Free Mints Tin 40g,815855,found
2026-04-30,Chobani greek yoghurt natural light plain 907g,1,7.9,7.9,Chobani Greek Yoghurt Natural Light Plain 907g,717518,found
2026-04-30,Harvey fresh lactose free hilo milk pdm 2l,2,6.2,6.2,Harvey Fresh Lactose Free HiLo Milk 2L,240744,found
2026-04-30,Pauls plus protein dairy snack vanilla 160g,2,2.45,3.1,Pauls Plus Protein Dairy Snack Vanilla 160g,6004840,found
2026-04-30,Woolworths light thickened cream 300ml,1,3.4,3.4,Woolworths Light Thickened Cream 300mL,838737,found
2026-04-30,Nestle carnation light & creamy evaporated milk 340ml,1,3.0,3,Nestle Carnation Light & Creamy Evaporated Milk 340mL,151917,found
2026-04-30,Coca-cola zero sugar soft drink multipack cans 375ml x 10 pack,1,10.5,10.5,Coca-Cola Zero Sugar Soft Drink Multipack Cans 375mL x 10 pack,669379,found
2026-04-30,Fropro protein pot cheeseburger pasta pdm 350g,2,11.95,,,,no_results
2026-04-30,Fropro protein pot korean beef & noodles 350g,2,11.95,,,,no_results
2026-04-30,Woolworths potato minis 1kg,1,5.0,5,Woolworths Potato Minis 1kg,695650,found
2026-04-30,Red capsicum pdm each,1,3.23,3.48,Red Capsicum each,135306,found
2026-04-30,Woolworths baby leaf spinach 120g,1,2.7,2.7,Woolworths Baby Leaf Spinach 120g,524322,found
2026-04-30,Woolworths chili lime salad kit pdm 350g,1,5.0,5.5,Woolworths Chili Lime Salad Kit 350g,6036189,found
2026-04-30,Woolworths honey mustard salad kit pdm 285g,1,5.0,5.5,Woolworths Honey Mustard Salad Kit 285g,210686,found
2026-04-30,Woolworths iceberg shredded lettuce pdm 200g,1,2.0,2,Woolworths Iceberg Shredded Lettuce 200g,638009,found
2026-04-30,Woolworths mushroom sliced pdm 500g,1,7.0,7,Woolworths Mushroom Sliced 500g,89466,found
2026-04-30,Select smooth peanut butter 500g,1,3.0,3.4,Woolworths Smooth Peanut Butter 500g,233922,found
2026-04-30,Vetta smart protein spirals pasta pdm 375g,1,3.0,3,Vetta SMART Protein Spirals Pasta 375g,117547,found
